Flight	Flight Time	Entry	Data
3	0	10813	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.299124 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -115.671 ] degreesGroundspeed: [ 0.402299 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
32769	0	60527	
4097	0	60726	
24577	0	60799	
45057	0	60872	
1	0	60946	
20481	0	61019	
40961	0	61092	
12289	0	61165	
32769	0	61238	
3	0	10814	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.105864 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -97.2914 ] degreesGroundspeed: [ 0.222504 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
61441	0	61311	
61441	67	61510	
24577	0	61584	
4097	0	61657	
32769	0	61730	
61441	0	61803	
24577	0	61877	
53249	0	61950	
16385	0	62024	
3	0	10815	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.105864 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -97.2914 ] degreesGroundspeed: [ 0.222504 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
45057	0	62097	
57345	0	62305	
20481	0	62379	
49153	0	62452	
12289	0	62526	
40961	0	62599	
4097	0	62673	
8193	0	62746	
36865	0	62819	
3	0	10816	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.105864 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -97.2914 ] degreesGroundspeed: [ 0.222504 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
1	0	62893	
8193	0	63092	
28673	0	63165	
49153	0	63237	
4097	0	63311	
24577	0	63384	
45057	0	63457	
1	0	63531	
20481	0	63604	
3	0	10817	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.105864 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -97.2914 ] degreesGroundspeed: [ 0.222504 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
49153	0	63677	
57345	0	63875	
12289	0	63949	
32769	0	64022	
53249	0	64095	
16385	0	64169	
45057	0	64242	
24577	0	64315	
53249	0	64388	
3	0	10818	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.105864 ] metersGeoidSeparation: [ 0 ] metersHeading: [ -97.2914 ] degreesGroundspeed: [ 0.222504 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
16385	0	64462	
1	0	64660	
20481	0	64733	
45057	0	64805	
1	0	64879	
20481	0	64952	
40961	0	65025	
61441	0	65098	
16385	0	65172	
3	0	10819	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.0993689 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 120.129 ] degreesGroundspeed: [ 0.288486 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
36865	0	65245	
4097	0	65444	
24577	0	65517	
45057	0	54	
8193	0	128	
36865	0	201	
1	0	275	
28673	0	348	
57345	0	421	
3	0	10820	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.0993689 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 120.129 ] degreesGroundspeed: [ 0.288486 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
20481	0	495	
32769	0	663	
53249	0	736	
8193	0	810	
12289	0	883	
32769	0	956	
53249	0	1029	
8193	0	1103	
28673	0	1176	
3	0	10821	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.0993689 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 120.129 ] degreesGroundspeed: [ 0.288486 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
49153	0	1249	
12289	0	1451	
32769	0	1524	
53249	0	1597	
8193	0	1671	
28673	0	1744	
49153	0	1817	
4097	0	1891	
24577	0	1963	
3	0	10822	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.0993689 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 120.129 ] degreesGroundspeed: [ 0.288486 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
45057	0	2036	
12289	0	2234	
32769	0	2307	
53249	0	2380	
8193	0	2454	
53249	0	2526	
8193	0	2600	
28673	0	2673	
49153	0	2746	
3	0	10823	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.0993689 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 120.129 ] degreesGroundspeed: [ 0.288486 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
4097	0	2820	
61441	0	3017	
16385	0	3091	
36865	0	3164	
57345	0	3237	
12289	0	3311	
40961	0	3384	
4097	0	3458	
32769	0	3531	
3	0	10824	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ 0.0993689 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 120.129 ] degreesGroundspeed: [ 0.288486 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
61441	0	3604	
28673	0	3802	
57345	0	3875	
20481	0	3949	
49153	0	4022	
53249	0	4095	
16385	0	4169	
45057	0	4242	
8193	0	4316	
3	0	10825	GPSPOSITIONSENSOR (ID: A529B6FE-0, 41 BYTES, single)Data:Latitude: [ 3.12147e+08 ] degrees x 10^-7Longitude: [ 1.21407e+09 ] degrees x 10^-7Altitude: [ -0.0255865 ] metersGeoidSeparation: [ 0 ] metersHeading: [ 53.6146 ] degreesGroundspeed: [ 0.262595 ] m/sPDOP: [ 1 ] HDOP: [ 0 ] VDOP: [ 0 ] Status: [ 0 ] Satellites: [ 7 ] SensorType: [ 0 ] AutoConfigStatus: [ 0 ] BaudRate: [ 0 ] 
36865	0	4389	
49153	0	4592	
4097	0	4666	
24577	0	4739	
45057	0	4812	
8193	0	4886	
36865	0	4959	
1	0	5033	
32769	0	5106	
